1,Dom Jednorodzinny? Stan Deweloperski? Smyczyna,Single-Family House - Developer Condition - Smyczyna
2,"Osiedle Belvedere Park, ul. Przyja?ni, 3 pokoje!","Belvedere Park housing estate, ul. Friendship, 3 rooms!"
3,?Przestronne mieszkanie z tarasem nieopodal lasu ?,?Spacious apartment with a terrace near the forest ?
4,WI?LANE OGRODY | 63 m2 | taras 21 m2 | ?OLIBORZ,VISTula GARDENS | 63 m2 | terrace 21 m2 | ?OLIBORZ
5,Klimatyczne dwupoziomowe mieszkanie,Atmospheric two-level apartment
6,NOWE dwupokojowe mieszkanie w ?wietnej cenie!,NEW two-room apartment at a great price!
7,"Osiedle Santo II Etap 2 pokoje 50,73 m2","Santo II estate, Stage 2 rooms, 50.73 m2"
8,"Dwupoziomowe mieszkanie na sprzeda?, Grzeg¢rzki","Duplex apartment for sale, Grzeg¢rzki"
9,Idealne mieszkanie w zielonej okolicy centrum,Perfect apartment in a green area of ??the center
10,Apartament Jana Paw?a,John Paul's Apartment
11,"XV-lecia, M4 52,31 m2, ul. Kusoci?skiego","XV-lecia, M4 52.31 m2, ul. Kusoci?ski"
12,"Idealne mieszkanie na start, zielone osiedle!","Perfect starter apartment, green housing estate!"
13,Mieszkanie z balkonem i kom¢rk? ul. ?YTNIA,Apartment with balcony and cell phone ul. RYE
14,20%/80% HARMONOGRAM p?atno?ci tylko do 27 czerwca?,20%/80% payment SCHEDULE only until June 27?
15,Mieszkanie w centrum Warszawy,Apartment in the center of Warsaw
16,"""Nowa Smolarnia"" 54,5 m2 3 pok.","""Nowa Smolarnia"" 54.5 m2 3 rooms"
17,"Mieszkanie z ogrodem, Sieros?aw - stan pod klucz","Apartment with a garden, Sieros?aw - turnkey condition"
18,"Du?y apartament w Bel mare, parking w cenie","Large apartment in Bel mare, parking included"
19,Uroczy dom letniskowy ca?oroczny 30 min od ?odzi,A charming year-round summer house 30 minutes from ?¢d?
20,Ok.Manufaktury??2 pokoje??Ten rok??Gara? 10 tys??,Ok.Manufaktury??2 rooms??This year??Garage 10 thousand??
21,2 pokoje/ mce postojowe/ kom¢rka lokatorska,2 rooms/ parking space/ storage room
22,Nowy dom w Jaworzu o pow. 136m2,New house in Jaworze with an area of 136m2
